cvm_code,company,category,type,kind,reference_date,issue_dttm,status,v,modality,download,,
00092-2,000922 BANCO DA AMAZÔNIA S.A.,Formulário de Referência,,,20190101 2019,20190801 01/08/2019 12:50,Inativo,2,RE,"OpenDownloadDocumentos('85964','2','000922FRE201920190200085964-70','')",,
00112-0,001120 BCO ESTADO DE SERGIPE S.A. - BANESE,Dados Econômico-Financeiros,Relatório de Agência de Rating,Relatório Fitch Ratings -,20190731 31/07/2019,20190801 01/08/2019 09:20,Ativo,1,AP,"OpenDownloadDocumentos('228948','1','703056','IPE')",,
00115-5,001155 BANESTES S.A. - BCO EST ESPIRITO SANTO,Dados Econômico-Financeiros,Relatório de Agência de Rating,Relatório de Rating - Fitch Ratings -,20190801 01/08/2019,20190801 01/08/2019 17:55,Ativo,1,AP,"OpenDownloadDocumentos('229036','1','703146','IPE')",,
00210-0,002100 CAMBUCI S.A.,Dados Econômico-Financeiros,Demonstrações Financeiras Intermediárias,Demonstrações Financeiras Intermediárias -,20190630 30/06/2019,20190801 01/08/2019 18:09,Ativo,1,AP,"OpenDownloadDocumentos('229044','1','703155','IPE')",,
00210-0,002100 CAMBUCI SA,ITR,,,20190630 30/06/2019,20190801 01/08/2019 18:04,Ativo,1,AP,"OpenDownloadDocumentos('85975','1','002100ITR300620190100085975-73','ITR')",,
00242-9,002429 CELULOSE IRANI S.A.,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,Negociações atípicas de valores mobiliários -,20190801 01/08/2019,20190801 01/08/2019 09:28,Ativo,1,AP,"OpenDownloadDocumentos('228950','1','703058','IPE')",,
00243-7,002437 CENTRAIS ELET BRAS S.A. - ELETROBRAS,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Liquidação Bond -,20190801 01/08/2019,20190801 01/08/2019 19:07,Ativo,1,AP,"OpenDownloadDocumentos('229116','1','703227','IPE')",,
00243-7,002437 CENTRAIS ELET BRAS S.A. - ELETROBRAS,Fato Relevante,,Privatização Eletrobras -,20190801 01/08/2019,20190801 01/08/2019 20:05,Ativo,1,AP,"OpenDownloadDocumentos('229125','1','703236','IPE')",,
00320-4,003204 CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190701 07/2019,20190801 01/08/2019 08:17,Ativo,1,AP,"OpenDownloadDocumentos('228930','1','703038','IPE')",,
00320-4,003204 CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190801 01/08/2019 08:19,Ativo,1,AP,"OpenDownloadDocumentos('228931','1','703039','IPE')",,
