cvm_code,company,category,type,kind,reference_date,issue_dttm,status,v,modality,download
00759-5,007595 INEPAR S.A. INDUSTRIA E CONSTRUCOES,Assembleia,AGO,"Mapa do Escriturador,Mapa do Escriturador",20190902 02/09/2019 09:00,20190901 01/09/2019 22:03,Ativo,1,AP,"OpenDownloadDocumentos('234331','1','708931','IPE')"
00759-5,007595 INEPAR S.A. INDUSTRIA E CONSTRUCOES,Assembleia,AGO,"Mapa consolidado de voto a distância,Mapa consolidado de voto a distância",20190902 02/09/2019 09:00,20190901 01/09/2019 22:22,Ativo,1,AP,"OpenDownloadDocumentos('234332','1','708932','IPE')"
02113-0,021130 TRISUL S/A,Formulário de Referência,,,20190101 2019,20190901 01/09/2019 23:53,Inativo,4,RE,"OpenDownloadDocumentos('87096','4','021130FRE201920190400087096-88','')"
00115-5,001155 BANESTES S.A. - BCO EST ESPIRITO SANTO,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Eleição de Diretor Estatutário, -",20190902 02/09/2019,20190902 02/09/2019 16:44,Ativo,1,AP,"OpenDownloadDocumentos('234409','1','709014','IPE')"
00115-5,001155 BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO,Formulário de Referência,,,20190101 2019,20190902 02/09/2019 16:34,Inativo,7,RE,"OpenDownloadDocumentos('87101','7','001155FRE201920190700087101-80','')"
00243-7,002437 CENTRAIS ELET BRAS S.A. - ELETROBRAS,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Empréstimo Compulsório, -",20190902 02/09/2019,20190902 02/09/2019 16:54,Ativo,1,AP,"OpenDownloadDocumentos('234411','1','709016','IPE')"
00243-7,002437 CENTRAIS ELET BRAS S.A. - ELETROBRAS,Dados Econômico-Financeiros,Press-release,"Informe aos Investidores 2T19, -",20190630 30/06/2019,20190902 02/09/2019 19:00,Ativo,2,RE,"OpenDownloadDocumentos('234458','2','709081','IPE')"
00243-7,002437 CENTRAIS ELET BRAS S.A. - ELETROBRAS,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,"Apresentação APIMEC 2T19, -",20190815 15/08/2019,20190902 02/09/2019 19:03,Ativo,2,RE,"OpenDownloadDocumentos('234460','2','709083','IPE')"
00243-7,002437 CENTRAIS ELET BRAS S.A. - ELETROBRAS,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,"Teleconferência 2T19, -",20190813 13/08/2019,20190902 02/09/2019 19:21,Ativo,1,AP,"OpenDownloadDocumentos('234474','1','709097','IPE')"
00246-1,002461 CENTRAIS ELET DE SANTA CATARINA S.A.,Calendário de Eventos Corporativos,,,20191231 31/12/2019,20190902 02/09/2019 17:03,Inativo,11,RE,"OpenDownloadDocumentos('234412','11','709017','IPE')"
00306-9,003069 CIA FERRO LIGAS BAHIA FERBASA,Formulário de Referência,,,20190101 2019,20190902 02/09/2019 16:49,Ativo,4,RE,"OpenDownloadDocumentos('87102','4','003069FRE201920190400087102-70','')"
00417-0,004170 VALE S.A.,Formulário de Referência,,,20190101 2019,20190902 02/09/2019 23:00,Inativo,9,RE,"OpenDownloadDocumentos('87109','9','004170FRE201920190900087109-83','')"
00478-2,004782 MENDES JUNIOR ENGENHARIA S.A.,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,"Negociações atípicas de valores mobiliários, -",20190902 02/09/2019,20190902 02/09/2019 18:03,Ativo,1,AP,"OpenDownloadDocumentos('234431','1','709049','IPE')"
00482-0,004820 BRASKEM S.A.,Assembleia,AGE,Boletim de voto a distância,20191003 03/10/2019 10:30,20190902 02/09/2019 08:41,Ativo,1,AP,"OpenDownloadDocumentos('234339','1','708939','IPE')"
00482-0,004820 BRASKEM S.A.,Assembleia,AGE,"Deliberar sobre a aprovação do Orçamento de Capital,Examinar, discutir e votar a Proposta da Administração para a destinação do lucro líquido de 2018,Edital de Convocação",20191003 03/10/2019 10:30,20190902 02/09/2019 08:44,Ativo,1,AP,"OpenDownloadDocumentos('234341','1','708941','IPE')"
00482-0,004820 BRASKEM S.A.,Assembleia,AGE,"Deliberar sobre a aprovação do Orçamento de Capital,Examinar, discutir e votar a Proposta da Administração para a destinação do lucro líquido de 2018,Proposta da Administração",20191003 03/10/2019 10:30,20190902 02/09/2019 08:48,Ativo,1,AP,"OpenDownloadDocumentos('234343','1','708943','IPE')"
00482-0,004820 BRASKEM S.A.,Assembleia,AGE,Manual para participação,20191003 03/10/2019 10:30,20190902 02/09/2019 08:53,Ativo,1,AP,"OpenDownloadDocumentos('234346','1','708946','IPE')"
00482-0,004820 BRASKEM S.A.,Reunião da Administração,Conselho Fiscal,"Revisão da Proposta de Orçamento de Capital e Destinação de Resultados de 2018,Ata",20190830 30/08/2019 10:00,20190902 02/09/2019 08:59,Ativo,1,AP,"OpenDownloadDocumentos('234347','1','708947','IPE')"
00482-0,004820 BRASKEM S.A.,Reunião da Administração,Conselho Fiscal,"RA, DF's e proposta para destinação de resultados, todos referente a 2018; exame do estudo de viabilidade técnica,Ata",20190312 12/03/2019 13:00,20190902 02/09/2019 18:52,Ativo,1,AP,"OpenDownloadDocumentos('234455','1','709078','IPE')"
00482-0,004820 BRASKEM S.A.,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,"Resposta ao Ofício, -",20190902 02/09/2019,20190902 02/09/2019 18:55,Ativo,1,AP,"OpenDownloadDocumentos('234457','1','709080','IPE')"
