Código CVM,Empresa,Categoria,Tipo,Espécie,Data Referência,Data Entrega,Status,V,Modalidade,download
00070-1,000701 BAHEMA EDUCAÇÃO S.A.,Fato Relevante,,Celebração ou Extinção de Contrato -,20191001 01/10/2019,20191001 01/10/2019 08:51,Ativo,1,AP,"OpenDownloadDocumentos('238501','1','713503','IPE')"
00115-5,001155 BANESTES S.A. - BCO EST ESPIRITO SANTO,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191001 01/10/2019 14:42,Ativo,1,AP,"OpenDownloadDocumentos('238567','1','713571','IPE')"
00115-5,001155 BANESTES S.A. - BCO EST ESPIRITO SANTO,Ato Homologatório emitido pelo Banco Central,,Eleição de Diretor(es) -,20190919 19/09/2019,20191001 01/10/2019 17:25,Ativo,1,AP,"OpenDownloadDocumentos('238613','1','713621','IPE')"
00115-5,001155 BANESTES S.A. - BCO EST ESPIRITO SANTO,Contratos de Indenidade,Contratos de indenidade e aditivos,Contrato de indenidade - Marcos Vinícius Nunes Montes -,20191001 01/10/2019,20191001 01/10/2019 17:26,Ativo,1,AP,"OpenDownloadDocumentos('238614','1','713622','IPE')"
00115-5,001155 BANESTES S.A. - BCO EST ESPIRITO SANTO,Reunião da Administração,Conselho de Administração,"Convocação de Assembleia Geral de acionistas,Proposta de alteraçao do caput do artigo 5º do Estatuto Social,Proposta de elevação do Capital SocialAta",20190930 30/09/2019 14:00,20191001 01/10/2019 17:27,Ativo,1,AP,"OpenDownloadDocumentos('238615','1','713623','IPE')"
00115-5,001155 BANESTES S.A. - BCO EST ESPIRITO SANTO,Assembleia,AGE,"Alteração do caput do artigo 5º do Estatuto Social,Proposta de elevação do Capital SocialEdital de Convocação",20191018 18/10/2019 10:00,20191001 01/10/2019 17:28,Ativo,1,AP,"OpenDownloadDocumentos('238616','1','713625','IPE')"
00115-5,001155 BANESTES S.A. - BCO EST ESPIRITO SANTO,Assembleia,AGE,"Alteração do caput do artigo 5º do Estatuto Social,Elevação do Capital SocialProposta da Administração",20191018 18/10/2019 10:00,20191001 01/10/2019 17:28,Ativo,1,AP,"OpenDownloadDocumentos('238617','1','713626','IPE')"
00115-5,001155 BANESTES S.A. - BCO EST ESPIRITO SANTO,Assembleia,AGE,Manual para participação,20191018 18/10/2019 10:00,20191001 01/10/2019 17:29,Ativo,1,AP,"OpenDownloadDocumentos('238620','1','713629','IPE')"
00115-5,001155 BANESTES S.A. - BCO EST ESPIRITO SANTO,Fato Relevante,,Proposta de Elevação do Capital Social -,20191001 01/10/2019,20191001 01/10/2019 18:00,Ativo,1,AP,"OpenDownloadDocumentos('238628','1','713637','IPE')"
00115-5,001155 BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO,Formulário de Referência,,,20190101 2019,20191001 01/10/2019 18:05,Inativo,8,RE,"OpenDownloadDocumentos('88505','8','001155FRE201920190800088505-74','')"
